SalesOrg;Customer_Name;EAN_UPC_Code;Week_Date_Start;Currency;Sales_Value;Sales_Volume;Retail Sales Price;Base_Sales_Value;Base_Sales_Volume;Incremental_Sales_Value;Incremental_Sales_Volume;ACV Weighted Distribution;ACV Weighted Distribution No Merch;ACV Weighted Distribution Any Merch;ACV Weighted Distribution Price Reductions Only;ACV Weighted Distribution Feature Only;ACV Weighted Distribution Display Only;ACV Weighted Distribution Feature and Display;ACV Weighted Distribution Feature and/or Display;RoS;Promoted ACV %;In-store Price Discount %;COVID;Week_of_Year;Post event deep
B01;B;33409;2019-06-16;BBB;135065.3505;13508.63173;9.99844789609939;133337.1246;13280.75694;1728.22589;227.8747968;77.81923279;75.85830325;1.960929537;1.960929537;0.00;0.00;0.00;0.00;173.589885760682;0.0251985205545741; 0.995873854964999 ;0.00;24;0
B01;B;33409;2019-06-23;BBB;168241.3435;18921.55339;8.89151857843316;114479.0557;11559.42822;53762.28787;7362.125172;81.01590384;2.510944655;78.50495918;0.084312308;70.21666922;0.043529589;8.160448068;78.42064687;233.553567795387;0.969006768535732; 0.897813754190449 ;0.00;25;0
B01;B;33409;2019-06-30;BBB;138968.7171;13881.27669;10.0112345718253;134724.0645;13433.4324;4244.652608;447.8442882;78.41091388;68.16638423;10.24452965;2.026944563;0.00;8.217585083;0.00;8.217585083;177.032456364989;0.130651833310835; 0.998227327539974 ;0.00;26;0
B01;B;33409;2019-07-07;BBB;164954.0678;18011.87699;9.15807208163706;115219.2491;11812.30028;49734.81873;6199.576716;83.72005645;0.835199282;82.88485717;1.955513579;71.54796102;0.078638512;9.302744061;80.92934359;215.144109473424;0.990023904481015; 0.938887366991021 ;0.00;27;0
B01;B;33409;2019-07-14;BBB;177286.6055;19950.28959;8.88641764823625;118452.5548;11981.81327;58834.0507;7968.476316;82.7015769;2.654926907;80.04664999;0.007626693;67.34398305;0.132628221;12.56241202;80.0390233;241.232275584337;0.967897505591577; 0.898886453569335 ;0.00;28;0
B01;B;33409;2019-07-21;BBB;117963.8495;11760.40963;10.030590192971;113159.464;11269.04823;4804.385559;491.3613985;74.74527431;60.64147535;14.10379896;0.866503071;0.00;13.23729589;0.00;13.23729589;157.339841729989;0.188691513814046; 0.998901909432473 ;0.00;29;0
B01;B;33409;2019-07-28;BBB;120592.3564;12031.37408;10.0231574214339;117806.1178;11744.68237;2786.238663;286.6917106;75.25159793;66.52583934;8.725758587;0.828009895;0.00;7.897748691;0.00;7.897748691;159.881974748121;0.115954462456954; 0.999258803002923 ;0.00;30;0
B01;B;33409;2019-08-04;BBB;103636.9949;10372.30468;9.99170368566535;98979.49221;9863.339405;4657.502672;508.9652753;71.54196625;53.34478093;18.19718531;1.57944586;0.00;16.61773945;0.00;16.61773945;144.98210244536;0.254356795931647; 0.995676604167808 ;0.00;31;0
B01;B;33409;2019-08-11;BBB;173514.0282;19679.84272;8.81684018864964;116693.8206;11807.68081;56820.2076;7872.161916;81.425478;2.621851419;78.80362658;0.00;57.96004053;0.170890925;20.67269513;78.80362658;241.691460748932;0.967800601428462; 0.892133226635954 ;0.00;32;0
B01;B;33409;2019-08-18;BBB;127364.0787;12731.32969;10.0039887271194;120445.3977;11999.79151;6918.681035;731.538182;75.47071264;58.29558067;17.17513197;1.794039878;0.00;15.38109209;0.00;15.38109209;168.692321095857;0.227573470147638; 0.996682158772291 ;0.00;33;0
B01;B;33409;2019-08-25;BBB;176046.1902;19820.20341;8.88215860141871;116914.1387;11815.75815;59132.05148;8004.445258;80.48917214;2.324910817;78.16426132;0.033690589;61.60911172;0.172191546;16.34926747;78.13057073;246.246829020995;0.97111523502868; 0.897662498747089 ;0.00;34;0
B01;B;33409;2019-09-01;BBB;162600.5166;18129.72815;8.96872337272195;123901.6004;12546.05651;38698.9162;5583.671639;80.26288279;31.06880918;49.1940736;34.28491288;0.00;14.90916072;0.00;14.90916072;225.879354438772;0.612911870219158; 0.908157036660257 ;0.00;35;0
B01;B;33409;2019-09-08;BBB;173274.3348;19594.76938;8.84288717257667;117027.0526;11857.92345;56247.28213;7736.845936;80.54023111;0.602994954;79.93723616;0.00;68.41548743;0.00;11.52174873;79.93723616;243.291695466306;0.992513121185654; 0.896017432206962 ;0.00;36;0
B01;B;33409;2019-09-15;BBB;155891.7099;16964.95233;9.18904497151629;113575.8087;11657.90463;42315.90119;5307.047704;81.25532154;2.543080665;78.71224087;0.00;63.42244931;0.08270066;15.2070909;78.71224087;208.785738687263;0.968702595450956; 0.943202704386449 ;0.00;37;0
B01;B;33409;2019-09-22;BBB;112005.7419;11188.85839;10.0104709520772;107772.0537;10747.14678;4233.688221;441.7116065;71.73681995;57.35954366;14.37727629;1.336048631;0.00;13.04122765;0.00;13.04122765;155.970928148175;0.200416972762674; 0.998255085296756 ;0.00;38;0
B01;B;33409;2019-09-29;BBB;83993.38448;8368.302093;10.037087995456;83443.95626;8307.961564;549.428224;60.34052947;61.9999697;58.71934253;3.280627173;0.535092341;0.00;2.745534832;0.00;2.745534832;134.972680365681;0.0529133673592747; 0.999326314549485 ;0.00;39;0
B01;B;33409;2019-10-06;BBB;104610.4018;10428.4395;10.0312613215045;85727.07862;8531.965822;18883.32319;1896.473679;68.73282362;2.665500177;66.06732344;0.042563874;64.31044249;0.00;1.714317083;66.02475957;151.724299261372;0.961219399413348; 0.998358746435339 ;0.00;40;0
B01;B;33409;2019-10-13;BBB;99062.64643;9879.221497;10.027373762202;94954.06548;9457.985607;4108.580947;421.2358897;68.11526858;47.82264351;20.29262507;0.645765037;12.32525733;7.103724099;0.217878606;19.64686004;145.036813374626;0.297915951783508; 0.998785636396913 ;0.00;41;0
B01;B;33409;2019-10-20;BBB;151231.1797;16840.17218;8.98038203431243;107028.2246;10849.70505;44202.95505;5990.46713;77.74172304;2.465997845;75.2757252;0.065839835;64.88864582;0.300239053;10.02100049;75.20988536;216.616914592121;0.968279609152331; 0.910362632592981 ;0.00;42;0
B01;B;33409;2019-10-27;BBB;150455.6269;16974.39035;8.86368369041307;106327.3204;10815.82817;44128.30654;6158.562181;76.71813242;1.340916759;75.37721567;1.145841348;64.34092105;0.425756689;9.46469658;74.23137432;221.256563664405;0.982521514696695; 0.901631672726131 ;0.00;43;0
B01;B;33409;2019-11-03;BBB;92321.78902;9199.732327;10.0352690424533;77098.23322;7669.112218;15223.55581;1530.620109;65.47070238;2.462015643;63.00868674;0.036714935;54.84235314;0.256666238;7.872952428;62.9719718;140.516780675479;0.962395154618776; 0.998227860874394 ;0.00;44;0
B01;B;33409;2019-11-10;BBB;104810.6798;10440.3977;10.0389547229604;103916.284;10347.41528;894.3958112;92.98242291;67.94797721;63.41406334;4.533913867;0.614188331;0.00;3.919725537;0.00;3.919725537;153.652810998816;0.0667262522471786; 0.999624211885681 ;0.00;45;0
B01;B;33409;2019-11-17;BBB;104656.1015;10433.29456;10.0309735240524;101787.7574;10142.6628;2868.344042;290.6317599;67.91765948;56.87640038;11.0412591;0.39970588;0.00;10.64155322;0.00;10.64155322;153.616815418563;0.162568309693466; 0.999538496661988 ;0.00;46;0
