SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
250,2104390111,900030,232846,41,12776,4.1,22.74
20,2063560436,30,6E+13,965,604040,202.1,216.6
290,2104390111,900031,232822,65,30200,12.5,38.34
120,2063560436,120,240735,325,212360,43.7,58.2
290,2104390111,900032,232822,305,131000,60.5,131.7
130,2063560436,130,240643,125,25202,34.1,48.6
310,2104390111,900033,231207,105,39650,7.5,24.9
140,2063560436,140,209401,245,381200,115.7,130.2
310,2104390111,900034,231207,405,143600,28.5,54.6
160,2063560436,150,6E+13,245,35240,14.9,29.4
400,2104390111,900035,6E+13,725,360572,95.54,138.12
170,2063560436,160,241763,205,31314.4,38.5,53
400,2104390111,900036,6E+13,2165,1071716,285.62,384.36
180,2063560436,170,241770,105,45625,7.4,21.9
490,2104390111,900037,124685,869,5000,66226.1,66240.6
190,2063560436,180,6E+13,485,125960,24.02,38.52
490,2104390111,900038,124685,101,5000,7358.9,7373.4
200,2063560436,190,237056,485,43400,6.74,21.24
210,2063560436,200,237063,485,39560,6.74,21.24
20,2104409008,900021,6E+13,2405,6564.8,480.5,519
220,2063560436,210,237070,485,43400,6.74,21.24
30,2063560436,40,6E+13,725,181400,302.9,317.4
230,2063560436,220,6E+13,245,5000.24,0.74,15.24
240,2063560436,230,6E+13,245,245000,16.1,30.6
250,2063560436,240,6E+13,125,30920,15.74,30.24
260,2063560436,250,240476,125,38633.6,0.62,15.12
280,2063560436,260,6E+13,125,42026,14.78,29.28
40,2063560436,50,6E+13,65,14600,2.84,17.34
50,2063560436,60,6E+13,65,16223.3,2.84,17.34
60,2063560436,70,6E+13,65,22280,3.26,17.76
70,2063560436,80,6E+13,185,5450.18,6.8,21.3
80,2063560436,90,6E+13,185,7903.04,9.5,24
100,2063560436,100,231207,205,74300,21.5,36
110,2063560436,110,240742,205,31400,58.5,73
20,2063560441,30,6E+13,35,139544.18,55.4,69.9
30,2063560441,40,6E+13,77,22640,30.74,45.24
20,2063560447,30,6E+13,23,85726.508,33.44,47.94
30,2063560447,40,6E+13,53,16760,20.66,35.16
20,2063560452,30,6E+13,23,85726.508,33.44,47.94
30,2063560452,40,6E+13,53,16760,20.66,35.16
20,2063560458,30,6E+13,23,85726.508,33.44,47.94
30,2063560458,40,6E+13,53,16760,20.66,35.16
20,2063560464,30,6E+13,35,139544.18,55.4,69.9
30,2063560464,40,6E+13,77,22640,30.74,45.24
20,2063560475,30,6E+13,35,139544.18,55.4,69.9
30,2063560475,40,6E+13,77,22640,30.74,45.24
30,2104409008,900022,6E+13,2885,8628.8,1152.5,1195.8
80,2104409008,900023,6E+13,1181,10433.12,329.78,379.56
80,2104409008,900024,6E+13,29,5110.88,7.22,22.44
111,2104409008,900025,6E+13,53,27464,2.9,17.4
121,2104409008,900026,6E+13,77,50864,5.54,20.04
131,2104409008,900027,6E+13,185,29300,8.6,28.5
141,2104409008,900028,6E+13,437,16232,4.388,16.296
151,2104409008,900029,6E+13,437,16232,4.388,16.296
160,2104409008,900030,6E+13,437,63320,19.94,47.4
170,2104409008,900031,6E+13,365,162500,106.34,120.84
180,2104409008,900032,6E+13,125,43115,18.5,33
190,2104409008,900033,6E+13,125,43115,18.5,33
200,2104409008,900034,6E+13,437,74120,17.348,31.848
210,2104409008,900035,6E+13,125,41000,18.5,33
220,2104409008,900036,6E+13,581,170888,26.996,41.496
230,2104409008,900037,6E+13,149,5000,0.644,15.144
240,2104409008,900038,6E+13,149,5000,0.644,15.144
250,2104409008,900039,6E+13,149,5000,0.644,15.144
270,2104409008,900040,236486,77,22496,7.7,30.12
290,2104409008,900041,232846,185,43880,18.5,53.7
310,2104409008,900042,237063,1157,87944,10.868,28.824
320,2104409008,900043,241251,581,51080,5.684,21.912
330,2104409008,900044,232815,185,43880,18.5,52.62
340,2104409008,900045,232822,77,35240,14.9,43.008
350,2104409008,900046,237056,1157,97160,10.868,28.824
360,2104409008,900047,231207,505,178250,35.5,64.5
20,2063560479,30,6E+13,23,85726.508,33.44,47.94
30,2063560479,40,6E+13,53,16760,20.66,35.16
20,2063560484,30,6E+13,23,85726.508,33.44,47.94
30,2063560484,40,6E+13,53,16760,20.66,35.16
20,2063560488,30,6E+13,35,139544.18,55.4,69.9
30,2063560488,40,6E+13,77,22640,30.74,45.24
20,2063560492,30,6E+13,35,139544.18,55.4,69.9
