SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
120,2104484634,130,6E+13,65,5000,0.56,17.94
130,2104484634,140,6E+13,77,6793.088,0.572,17.52
140,2104484634,150,6E+13,53,6195.392,0.548,16.68
150,2104484634,160,6E+13,485,101232.8,29.3,52.44
160,2104484634,170,6E+13,437,52560.176,9.14,28.824
170,2104484634,180,6E+13,269,80240,26400.5,30903
180,2104484634,190,6E+13,293,87080,28800.5,33711
190,2104484634,200,6E+13,293,150152,80.276,94.776
200,2104484634,210,6E+13,293,150152,80.276,87
30,2104484634,40,6E+13,257,59432,0.752,47.004
210,2104484634,220,241107,497,247506.8,49.208,79.944
220,2104484634,230,6E+13,53,5000,0.548,19.08
230,2104484634,240,6E+13,53,5000,0.548,19.08
240,2104484634,250,6E+13,41,6209.6,0.536,18.06
250,2104484634,260,6E+13,77,7419.2,0.572,21.12
260,2104484634,270,6E+13,917,315080,109.94,124.44
270,2104484634,280,6E+13,401,119048,50.792,65.292
280,2104484634,290,6E+13,437,129416,55.364,69.864
290,2104484634,300,124685,821,5000,62546.9,62561.4
300,2104484634,310,230842,317,158784.8,31.388,56.184
40,2104484634,50,6E+13,221,113864,60.332,74.832
310,2104484634,320,6E+13,185,56840,23.54,38.04
320,2104484634,330,240476,281,83660,27600.5,32307
50,2104484634,60,6E+13,365,123800,16.34,37.32
60,2104484634,70,6E+13,581,200840,9.14,23.64
70,2104484634,80,124266,725,5000,24840.5,24855
80,2104484634,90,6E+13,149,9105.152,0.644,33.288
90,2104484634,100,6E+13,209,67944.2,24.776,39.276
100,2104484634,110,6E+13,581,200840,69.62,84.12
20,2104484635,30,6E+13,53,19400,7.7,22.2
110,2104484635,120,230866,389,101000,68.468,82.968
120,2104484635,130,230859,281,74000,49.076,63.576
130,2104484635,140,411312,245,28336.64,13.7,28.2
140,2104484635,150,223575,485,56840,6.74,21.24
150,2104484635,160,6E+13,113,113000,7.52,22.02
160,2104484635,170,6E+13,461,204500,134.564,149.064
170,2104484635,180,6E+13,149,68000,42.836,57.336
200,2063560522,200,241107,65,5000.06,0.56,15.06
180,2104484635,190,237063,1397,105224,13.028,31.704
210,2063560522,210,6E+13,77,20552,9.644,24.144
30,2063560522,40,6E+13,77,20552,9.644,24.144
190,2104484635,200,237056,293,28040,3.092,18.456
220,2063560522,220,6E+13,77,25736,9.644,24.144
200,2104484635,210,6E+13,5,5000,0.5,15
230,2063560522,230,6E+13,77,25736,9.644,24.144
30,2104484635,40,232815,65,17960,6.5,27.54
240,2063560522,240,124685,245,5000,18396.5,18411
210,2104484635,220,6E+13,533,103765.04,21.092,35.592
250,2063560522,250,230842,107,5000.102,0.602,15.102
220,2104484635,230,6E+13,557,25865.6,10.436,37.08
260,2063560522,260,128017A,137,5000,10648.544,10663.044
230,2104484635,240,6E+13,77,5000.072,0.572,25.008
270,2063560522,270,6E+13,77,25736,9.716,24.216
240,2104484635,250,6E+13,47,47000,38.3,52.8
280,2063560522,280,6E+13,77,20552,9.644,24.144
260,2104484635,260,241251,725,62600,6.98,23.64
290,2063560522,290,240476,101,31906.88,0.596,15.096
270,2104484635,270,6E+13,293,95720,32.468,46.968
40,2063560522,50,6E+13,149,77576,40.388,54.888
280,2104484635,280,6E+13,605,285800,30.5,45
50,2063560522,60,6E+13,77,28760,5.252,19.752
40,2095851280,900023,6E+13,245,281480,120.5,135
50,2095851280,900024,6E+13,605,1357400,612.5,627
60,2095851280,900025,6E+13,65,274088.36,110.3,124.8
70,2095851280,900026,6E+13,125,275000,41.3,55.8
80,2095851280,900027,6E+13,773,93780.8,48.116,62.616
90,2095851280,900028,6E+13,965,1541000,326.9,341.4
100,2095851280,900029,6E+13,1925,4090760,2362.1,2376.6
110,2095851280,900030,6E+13,197,94856,10.1,24.6
120,2095851280,900031,6E+13,101,66152,7.22,21.72
130,2095851280,900032,6E+13,437,108032,24.26,38.76
140,2095851280,900033,6E+13,293,43880,15.188,29.688
150,2095851280,900034,6E+13,245,190760,132.5,147
160,2095851280,900035,6E+13,365,162500,106.34,120.84
170,2095851280,900036,6E+13,125,97880,66.5,81
180,2095851280,900037,6E+13,185,185000,162.5,177
190,2095851280,900038,6E+13,185,185000,162.5,177
200,2095851280,900039,6E+13,245,81230,36.5,51
210,2095851280,900040,6E+13,101,35492,14.9,29.4
220,2095851280,900041,6E+13,245,81230,36.5,51
230,2095851280,900042,6E+13,293,51080,11.732,26.232
240,2095851280,900043,6E+13,149,24278,6.116,20.616
250,2095851280,900044,6E+13,293,58871.84,11.732,26.232
260,2095851280,900045,6E+13,125,41000,18.5,33
270,2095851280,900046,6E+13,185,56840,8.78,23.28
290,2095851280,900047,6E+13,125,43115,0.62,51
300,2095851280,900048,6E+13,293,5000,0.788,15.288
310,2095851280,900049,6E+13,293,5000,0.788,15.288
320,2095851280,900050,6E+13,149,5000,0.644,15.144
330,2095851280,900051,6E+13,293,5000,0.788,15.288
340,2095851280,900052,234277,65,5884.52,1.7,16.2
350,2095851280,900053,236318,35,9800,1.04,15.54
360,2095851280,900054,6E+13,125,43400,10.1,24.6
370,2095851280,900055,236486,65,19580,13.88,28.38
380,2095851280,900056,237070,485,43400,6.74,21.24
390,2095851280,900057,232846,53,15368,11.204,25.704
400,2095851280,900058,241251,245,24200,3.62,18.12
20,2109226357,900021,234291,11,5088.452,0.518,15.102
410,2095851280,900059,231191,125,16880,3.74,18.24
420,2095851280,900060,230859,245,65000,42.74,57.24
430,2095851280,900061,230866,125,35000,21.74,36.24
440,2095851280,900062,240643,245,45404,67.7,82.2
450,2095851280,900063,209364,293,109544,26.132,40.632
460,2095851280,900064,209401,125,193100,58.1,72.6
470,2095851280,900065,241558,125,13400,3.62,18.12
480,2095851280,900066,6E+13,245,35240,14.9,29.4
490,2095851280,900067,6E+13,293,147228.8,37.94,52.44
500,2095851280,900068,241770,125,53750,8.78,23.28
510,2095851280,900069,6E+13,485,125960,24.02,38.52
520,2095851280,900070,6E+13,185,61700,20.48,34.98
530,2095851280,900071,6E+13,77,27680,4.028,18.528
540,2095851280,900072,6E+13,245,14072,2.42,17.64
580,2095851280,900073,241107,65,34574,0.56,22.92
590,2095851280,900074,124685,293,5000,22075.7,22090.2
600,2095851280,900075,124266,365,5000,12420.5,12435
610,2095851280,900076,6E+13,125,18211.16,2.9,18.84
620,2095851280,900077,6E+13,245,53116.4,14.9,33.72
680,2095851280,900078,6E+13,149,46472,18.788,33.288
690,2095851280,900079,6E+13,77,25736,9.716,24.216
700,2095851280,900080,6E+13,149,46472,18.788,33.288
710,2095851280,900081,6E+13,605,209000,72.5,87
720,2095851280,900082,240476,365,107600,36000.5,42135
730,2095851280,900083,240957,365,107600,36000.5,42135
740,2095851280,900084,6E+13,185,95720,50.36,64.86
750,2095851280,900085,6E+13,185,66200,22.1,36.6
760,2095851280,900086,6E+13,365,127400,5.9,20.4
770,2095851280,900087,6E+13,605,176000,60000.5,70215
780,2095851280,900088,6E+13,185,11048,2.3,30.84
790,2095851280,900089,6E+13,77,20552,0.572,24.144
800,2095851280,900090,6E+13,365,186440,100.22,114.72
810,2095851280,900091,6E+13,365,107600,36000.5,42135
820,2095851280,900092,6E+13,365,103683.2,0.86,18.6
830,2095851280,900093,6E+13,221,66236,0.716,43.728
840,2095851280,900094,6E+13,365,102200,0.86,60.72
850,2095851280,900095,6E+13,185,9482.72,0.68,21.3
860,2095851280,900096,6E+13,125,5000,0.62,20.88
870,2095851280,900097,6E+13,125,9032,0.62,25.2
880,2095851280,900098,6E+13,185,11048,0.68,30.3
890,2095851280,900099,6E+13,77,5000,0.572,18.528
900,2095851280,900100,6E+13,149,5000,0.644,27.24
910,2095851280,900101,6E+13,245,5000,0.74,35.4
920,2095851280,900102,6E+13,53,5000,0.548,15.96
930,2095851280,900103,223575,105,15800,1.8,16.3
940,2095851280,900104,411312,205,24447.2,11.5,26
40,2095851302,900021,6E+13,29,32648,12.5,27
40,2095851302,900022,6E+13,221,253832,108.5,123
200,2095851302,900023,6E+13,107,107000,92.3,106.8
200,2095851302,900024,6E+13,83,83000,70.7,85.2
20,2095944756,900021,6E+13,3845,2401160,806.9,821.4
30,2095944756,900022,6E+13,2405,593000,1008.5,1023
40,2095944756,900023,6E+13,725,834440,360.5,375
50,2095944756,900024,6E+13,365,1619530.16,659.3,673.8
60,2095944756,900025,6E+13,35,74120,68.6,83.1
70,2095944756,900026,6E+13,1445,3245000,490.1,504.6
80,2095944756,900027,6E+13,605,922673,192.5,207
120,2095944756,900028,6E+13,245,117320,12.5,27
130,2095944756,900029,6E+13,125,81440,8.9,23.4
140,2095944756,900030,6E+13,185,29300,9.68,24.18
150,2095944756,900031,6E+13,17,14288,7.1,21.6
150,2095944756,900032,6E+13,173,135032,92.9,107.4
160,2095944756,900033,6E+13,125,57500,35.78,50.28
160,2095944756,900034,6E+13,125,57500,35.78,50.28
170,2095944756,900035,6E+13,245,190760,132.5,147
180,2095944756,900036,6E+13,185,185000,162.5,177
190,2095944756,900037,6E+13,185,185000,162.5,177
200,2095944756,900038,6E+13,245,81230,36.5,51
210,2095944756,900039,6E+13,101,35492,14.9,29.4
220,2095944756,900040,6E+13,293,51080,11.732,26.232
230,2095944756,900041,6E+13,293,58871.84,11.732,26.232
240,2095944756,900042,6E+13,125,39560,6.02,20.52
250,2095944756,900043,6E+13,149,5000,0.644,15.144
260,2095944756,900044,6E+13,149,5000,0.644,15.144
270,2095944756,900045,6E+13,293,5000,0.788,15.288
280,2095944756,900046,234291,65,5884.52,1.7,16.2
290,2095944756,900047,236318,35,9800,1.04,15.54
300,2095944756,900048,6E+13,245,81800,19.7,34.2
310,2095944756,900049,237070,725,62600,9.86,24.36
320,2095944756,900050,237063,485,39560,6.74,21.24
330,2095944756,900051,237056,485,43400,6.74,21.24
340,2095944756,900052,231191,125,16880,3.74,18.24
350,2095944756,900053,230859,125,35000,21.62,36.12
360,2095944756,900054,240643,293,53484.8,81.14,95.64
370,2095944756,900055,209401,29,42620,12.02,26.52
380,2095944756,900056,6E+13,293,41288,17.78,32.28
390,2095944756,900057,6E+13,293,147228.8,37.94,52.44
400,2095944756,900058,241763,245,36577.28,46.1,60.6
410,2095944756,900059,6E+13,485,125960,24.02,38.52
420,2095944756,900060,6E+13,125,42800,13.82,28.32
430,2095944756,900061,6E+13,125,42800,6.38,20.88
440,2095944756,900062,6E+13,485,23144,4.34,20.28
450,2095944756,900063,6E+13,185,11804,1.94,16.98
460,2095944756,900064,6E+13,245,79052,29.06,43.56
490,2095944756,900065,241107,65,34574,0.56,22.92
500,2095944756,900066,124685,365,5000,27594.5,27609
510,2095944756,900067,124266,245,5000,8280.5,8295
520,2095944756,900068,6E+13,125,18211.16,2.9,18.84
530,2095944756,900069,6E+13,245,53116.4,14.9,33.72
550,2095944756,900070,6E+13,221,67208,27.932,42.432
560,2095944756,900071,6E+13,149,46472,18.932,33.432
570,2095944756,900072,6E+13,437,129416,55.364,69.864
580,2095944756,900073,6E+13,605,209000,72.5,87
590,2095944756,900074,240476,605,176000,60000.5,70215
600,2095944756,900075,240957,605,176000,60000.5,70215
610,2095944756,900076,6E+13,725,367880,199.94,214.44
620,2095944756,900077,6E+13,725,367880,199.94,214.44
630,2095944756,900078,6E+13,605,209000,72.5,87
640,2095944756,900079,6E+13,605,209000,9.5,24
650,2095944756,900080,6E+13,485,141800,48000.5,56175
660,2095944756,900081,6E+13,125,5011.52,0.62,20.88
670,2095944756,900082,6E+13,149,9838.4,1.94,27.672
680,2095944756,900083,6E+13,293,67208,0.788,51.576
690,2095944756,900084,6E+13,545,277160,150.08,164.58
700,2095944756,900085,6E+13,365,107600,36000.5,42135
710,2095944756,900086,6E+13,485,18683.84,0.98,75.96
720,2095944756,900087,6E+13,149,8586.176,0.644,20.04
730,2095944756,900088,6E+13,65,5000,0.56,17.94
740,2095944756,900089,6E+13,185,11048,0.68,30.3
750,2095944756,900090,6E+13,125,9032,0.62,25.2
760,2095944756,900091,6E+13,125,5000,0.62,20.88
770,2095944756,900092,6E+13,149,5000,0.644,27.24
780,2095944756,900093,6E+13,125,5000,0.62,25.2
790,2095944756,900094,6E+13,125,7988.48,0.62,19.2
800,2095944756,900095,6E+13,29,5000,0.524,15.48
810,2095944756,900096,223575,205,26600,3.1,17.6
20,2096028166,900021,6E+13,1565,387200,655.7,670.2
20,2096028166,900022,6E+13,845,210800,353.3,367.8
270,2096028166,900023,6E+13,581,150152,28.724,43.224
290,2104484635,290,240643,1301,223181.6,8.276,40.92
300,2104484635,300,6E+13,149,24440,6.98,25.8
310,2104484635,310,6E+13,149,24440,6.98,25.8
40,2104484635,50,236318,113,22280,0.716,16.728
320,2104484635,320,6E+13,509,326048,35.78,50.28
330,2104484635,330,6E+13,53,30920,0.548,18.984
340,2104484635,340,6E+13,53,30920,0.548,18.984
350,2104484635,350,6E+13,197,65984,29.3,43.8
360,2104484635,360,236486,161,42908,16.1,47.76
370,2104484635,370,224381,95,54500,7.61,25.53
380,2104484635,380,232846,233,54248,23.3,64.02
390,2104484635,390,6E+13,101,35492,14.9,29.4
50,2104484635,60,241558,2165,156200,28.58,69
60,2104484635,70,6E+13,437,113864,21.668,36.168
70,2104484635,80,234291,329,9776.408,1.472,20.508
60,2063560522,70,124266,569,5000,19458.5,19473
70,2063560522,80,6E+13,329,104970.2,39.056,53.556
80,2063560522,90,6E+13,65,5000,0.56,15.06
90,2063560522,100,6E+13,53,13832,2.324,16.824
100,2063560522,110,6E+13,53,13832,2.036,16.536
190,2063560522,900021,6E+13,11,6707.24,2.3,16.8
20,2063560526,30,6E+13,17,14288,7.1,21.6
30,2063560526,40,6E+13,29,20288,2.18,16.68
40,2063560526,50,6E+13,29,8240,1.724,16.224
20,2063560528,30,6E+13,1925,1203080,403.7,418.2
120,2063560528,120,231207,505,178250,53,67.5
140,2063560528,130,230866,1445,365000,255.38,269.88
150,2063560528,140,240735,965,627080,130.1,144.6
160,2063560528,150,240643,2885,489848,806.9,821.4
170,2063560528,160,209401,653,1020740,311.54,326.04
190,2063560528,170,6E+13,3461,1711745.6,449.78,464.28
200,2063560528,180,241770,805,330000,55.7,70.2
210,2063560528,190,232815,245,56840,54.02,68.52
220,2063560528,200,237056,3461,281480,45.428,59.928
230,2063560528,210,236486,245,63320,54.02,68.52
30,2063560528,40,6E+13,5,5000,0.5,15
240,2063560528,220,6E+13,365,365000,23.9,38.4
250,2063560528,230,6E+13,725,212360,91.94,106.44
260,2063560528,240,6E+13,725,212360,91.94,106.44
270,2063560528,250,6E+13,365,82760,46.22,60.72
280,2063560528,260,240957,725,206801.6,1.22,15.72
80,2104484635,90,234277,365,10307.12,1.94,21.12
90,2104484635,100,6E+13,341,111722,50.9,65.4
100,2104484635,110,209364,5,5000,0.5,15
100,2104484635,900021,209364,701,257648,42.26,74.16
100,2104484635,900022,209364,29,13712,1.94,17.04
200,2104484635,900023,6E+13,185,33800,7.52,22.02
200,2104484635,900024,6E+13,17,6920,0.968,15.468
20,2104484636,30,6E+13,1445,635000,423.86,438.36
110,2104484636,120,234277,185,7653.56,1.22,18.06
120,2104484636,130,237070,5,5000,0.5,15
140,2104484636,140,230859,437,113000,76.532,91.032
150,2104484636,150,230866,437,113000,76.964,91.464
160,2104484636,160,209401,1949,3052220,702.284,889.8
170,2104484636,170,6E+13,293,100040,13.172,32.856
180,2104484636,180,124266,197,5000,6624.5,6639
190,2104484636,190,6E+13,365,108680,46.22,60.72
200,2104484636,200,6E+13,149,25496.816,0.644,17.88
30,2104484636,40,6E+13,605,469400,330.5,345
40,2104484636,50,6E+13,1925,845000,564.98,579.48
50,2104484636,60,6E+13,605,469400,330.5,345
60,2104484636,70,6E+13,245,81230,36.5,51
70,2104484636,80,6E+13,149,50738,22.1,36.6
80,2104484636,90,6E+13,149,50738,22.1,36.6
90,2104484636,100,6E+13,293,51080,11.732,26.232
100,2104484636,110,6E+13,581,112743.68,22.964,37.464
300,2063560528,270,6E+13,725,235400,58.1,72.6
120,2104484636,900021,237070,2309,189320,21.236,42.648
40,2109226357,900022,6E+13,17,17000,1.28,15.78
120,2104484636,900022,237070,20741,1663880,187.124,263.832
30,2104484637,30,6E+13,1925,2216840,845.3,975
80,2104484637,40,237070,3461,281480,31.604,56.472
90,2104484637,50,237063,3461,253832,31.604,56.472
100,2104484637,60,237056,3461,281480,31.604,56.472
110,2104484637,70,240643,437,77727.2,3.092,23.64
120,2104484637,80,209364,293,109544,17.78,39.48
130,2104484637,90,209401,485,757400,173.78,231
140,2104484637,100,6E+13,725,32216,52.34,116.52
20,2104487671,30,6E+13,11,18824,12.5,28.62
20,2104487794,30,6E+13,149,336776,288.5,341.88
30,2104503994,30,6E+13,281,92664.5,0.776,97.8
20,2104503996,30,6E+13,269,209336,145.7,160.2
60,2104503996,40,6E+13,581,170888,73.652,88.152
70,2104503996,50,237070,389,35720,3.956,19.608
80,2104503996,60,6E+13,485,168200,7.7,22.2
170,2104503996,70,223575,5,5000,0.5,15
180,2104503996,80,241763,245,36577.28,2.66,19.56
190,2104503996,90,241558,197,18440,2.996,19.8
200,2104503996,100,6E+13,149,24440,6.98,25.8
210,2104503996,110,6E+13,725,139679.6,28.58,43.08
170,2104503996,900021,223575,65,11480,1.28,15.78
170,2104503996,900022,223575,65,11480,1.28,15.78
20,2104503999,30,6E+13,3173,3654536,1394.42,1599
30,2104503999,40,6E+13,5,5000,0.5,15
50,2104503999,50,6E+13,725,139679.6,28.58,43.08
310,2063560528,280,234277,305,9422.6,6.5,21
320,2063560528,290,230842,365,5000.36,0.86,15.36
330,2063560528,300,124266,125,5000,4140.5,4155
40,2063560528,50,6E+13,2381,2742152,1188.5,1203
50,2063560528,60,6E+13,545,1222160,551.3,565.8
60,2063560528,70,6E+13,329,1458077.144,593.42,607.92
70,2063560528,80,6E+13,887,2037128,2002.64,2017.14
80,2063560528,90,6E+13,845,1895000,286.1,300.6
90,2063560528,100,6E+13,5,5000,0.5,15
100,2063560528,110,6E+13,569,110499.02,22.496,36.996
30,2063560528,900021,6E+13,1325,328400,554.9,569.4
30,2063560528,900022,6E+13,1565,387200,655.7,670.2
90,2063560528,900023,6E+13,425,72200,16.88,31.38
90,2063560528,900024,6E+13,1025,168200,40.28,54.78
20,2063560535,30,6E+13,2933,1059080,463.124,477.624
30,2063560535,40,ABDA136A,5,5000,0.5,15
40,2063560535,50,6E+13,4469,1522760,536.18,550.68
50,2063560535,60,6E+13,4889,1665560,73.76,88.26
30,2063560535,900021,ABDA136A,1157,396680,167.54,182.04
30,2063560535,900022,ABDA136A,3281,1118840,475.52,490.02
20,2063560536,30,209364,281,105188,25.064,39.564
120,2063560536,120,6E+13,77,38696,4.1,18.6
130,2063560536,130,240643,161,31262.6,44.18,58.68
140,2063560536,140,6E+13,53,16448,3.14,17.64
150,2063560536,150,6E+13,17,6620,1.112,15.612
160,2063560536,160,6E+13,77,50864,5.54,20.04
60,2104503999,60,6E+13,149,8586.176,0.644,20.04
70,2104503999,70,6E+13,77,6793.088,0.572,17.52
30,2104503999,900021,6E+13,1181,2714504,2352.5,2684.52
30,2104503999,900022,6E+13,1769,4069256,3528.5,4019.28
20,2104504001,30,6E+13,461,530312,201.14,243
40,2104504001,40,6E+13,35,5001.38,54.5,69.9
60,2104504001,50,6E+13,11,18824,12.5,28.62
20,2104504008,30,6E+13,17,5000,0.512,15.588
110,2104504008,120,6E+13,29,15500,7.556,22.056
120,2104504008,130,209364,17,9356,1.22,16.02
30,2104504008,40,6E+13,29,5000,0.524,16.176
40,2104504008,50,6E+13,17,5000,0.512,15.012
50,2104504008,60,6E+13,29,5000,0.524,15.024
60,2104504008,70,6E+13,77,25736,9.644,24.144
70,2104504008,80,6E+13,77,20552,0.572,24.144
80,2104504008,90,6E+13,65,25400,7.7,22.2
90,2104504008,100,6E+13,41,6026.288,0.536,19.572
100,2104504008,110,6E+13,17,8420,1200.5,1419
20,2104504013,30,6E+13,77,60897.632,0.572,27.816
30,2104504013,40,6E+13,41,23144,10.472,24
40,2104504013,50,6E+13,41,31808.048,0.536,21.408
50,2104504013,60,6E+13,41,31808.048,0.536,21.408
60,2104504013,70,241107,11,7957.4,1.094,15.792
20,2104504015,30,6E+13,485,168200,7.7,22.2
20,2104504023,30,6E+13,581,170888,74.228,88.728
270,2096028166,900024,6E+13,869,222728,42.836,57.336
300,2096296703,900021,6E+13,53,18824,2.708,17.208
300,2096296703,900022,6E+13,113,36104,5.468,19.968
300,2096296703,900023,6E+13,161,49928,7.676,22.176
300,2096296703,900024,6E+13,269,81032,12.644,27.144
380,2096296703,900025,237070,821,70280,11.108,25.608
380,2096296703,900026,237070,341,31880,4.868,19.368
20,2096296751,900021,6E+13,2405,593000,1008.5,1023
30,2096296751,900022,6E+13,245,281480,120.5,135
40,2096296751,900023,6E+13,305,1350441.8,549.5,564
50,2096296751,900024,6E+13,725,1663880,1634.9,1649.4
50,2096296751,900025,6E+13,185,419720,409.1,423.6
70,2096296751,900026,6E+13,545,1154120,664.7,679.2
80,2096296751,900027,6E+13,77,38696,4.1,18.6
90,2096296751,900028,6E+13,77,50864,5.54,20.04
100,2096296751,900029,6E+13,725,176720,40.1,54.6
110,2096296751,900030,6E+13,725,102200,37.22,51.72
120,2096296751,900031,6E+13,797,6980.792,28.22,42.72
110,2104504023,120,6E+13,581,169160,57600.5,67407
120,2104504023,130,6E+13,605,22104.8,1.1,91.2
30,2104504023,40,6E+13,581,170888,73.652,88.152
40,2104504023,50,6E+13,581,170888,73.652,88.152
50,2104504023,60,6E+13,1085,549320,299.66,285
60,2104504023,70,6E+13,1085,549320,299.66,314.16
70,2104504023,80,6E+13,965,331400,115.7,130.2
80,2104504023,90,6E+13,581,129416,1.076,88.152
90,2104504023,100,6E+13,1445,494600,173.3,187.8
100,2104504023,110,6E+13,1085,549320,299.66,314.16
20,2104504028,30,231191,77,12128,1.364,16.512
20,2104504033,30,6E+13,77,36500,21.668,36.168
110,2104504033,120,6E+13,149,24440,6.98,25.8
120,2104504033,130,6E+13,485,65480,12.98,34.2
130,2104504033,140,6E+13,365,62600,14.54,29.04
140,2104504033,150,6E+13,65,7268,4.82,23.46
30,2104504033,40,6E+13,65,51440,33.5,48
40,2104504033,50,232846,65,17960,6.5,27.9
50,2104504033,60,234277,65,5884.52,0.74,16.02
60,2104504033,70,236486,65,19580,6.5,27.6
70,2104504033,80,6E+13,65,23900,7.16,21.66
80,2104504033,90,6E+13,245,74120,11.54,26.04
90,2104504033,100,6E+13,197,147718.016,35.06,67.032
100,2104504033,110,6E+13,197,147718.016,35.06,67.032
30,2104504038,30,6E+13,41,32864,20.3,34.8
470,2104504038,120,6E+13,101,7390.784,0.596,18.36
480,2104504038,130,6E+13,89,5000,0.584,19.116
500,2104504038,140,241251,53,8840,0.932,15.576
760,2104504038,150,6E+13,29,5907.2,0.932,15.96
780,2104504038,160,6E+13,41,32948.816,0.536,21.408
40,2104504038,40,6E+13,41,32864,20.3,34.8
50,2104504038,50,6E+13,29,15500,7.556,22.056
90,2104504038,60,232815,17,7592,1.7,17.508
100,2104504038,70,232846,17,7592,1.7,17.58
120,2096296751,900032,6E+13,1373,8421.368,48.38,62.88
130,2096296751,900033,6E+13,2165,39836.48,108.5,123
140,2096296751,900034,6E+13,605,267500,176.9,191.4
150,2096296751,900035,6E+13,485,215000,141.62,156.12
160,2096296751,900036,6E+13,125,43115,18.5,33
180,2096296751,900037,6E+13,293,43556,11.732,26.232
200,2096296751,900038,6E+13,293,87944,13.748,28.248
210,2096296751,900039,6E+13,149,5000,0.644,15.144
220,2096296751,900040,6E+13,149,5000,0.644,15.144
230,2096296751,900041,6E+13,149,5000,0.644,15.144
240,2096296751,900042,6E+13,149,5000,0.644,15.144
250,2096296751,900043,234277,65,5884.52,1.7,16.2
260,2096296751,900044,234291,65,5884.52,1.7,16.2
270,2096296751,900045,236318,125,24200,2.66,17.16
280,2096296751,900046,6E+13,149,149000,9.86,24.36
290,2096296751,900047,6E+13,125,43400,10.1,24.6
300,2096296751,900048,237070,1157,97160,15.476,29.976
310,2096296751,900049,232846,125,30920,27.26,41.76
330,2096296751,900050,237063,2309,170888,30.452,44.952
340,2096296751,900051,241251,1157,97160,15.476,29.976
350,2096296751,900052,232815,65,17960,13.88,28.38
350,2096296751,900053,232815,125,30920,27.26,41.76
360,2096296751,900054,232822,41,20120,14.9,29.4
360,2096296751,900055,232822,329,141080,130.1,144.6
370,2096296751,900056,237056,2309,189320,30.452,44.952
380,2096296751,900057,231207,205,74300,21.5,36
330,2104504038,80,237063,53,8456,0.932,15.576
390,2096296751,900058,230859,725,185000,127.22,141.72
340,2104504038,90,237070,245,24200,2.66,17.88
400,2096296751,900059,230866,293,77000,51.476,65.976
350,2104504038,100,236486,17,7916,1.7,17.52
410,2096296751,900060,240643,1445,247424,403.7,418.2
460,2104504038,110,6E+13,101,7390.784,0.596,18.36
30,2104504042,30,6E+13,437,5281.664,86.9,105.72
420,2096296751,900061,209401,245,381200,115.7,130.2
50,2104504042,40,6E+13,5,5000,0.5,15
430,2096296751,900062,224381,125,71000,15.38,29.88
70,2104504042,50,6E+13,137,5006.072,238.1,256.56
440,2096296751,900063,241558,365,30200,9.86,24.36
100,2104504042,60,6E+13,653,751496,285.62,339
450,2096296751,900064,6E+13,1067,529468.7,138.56,153.06
20,2104504047,30,6E+13,725,834440,317.3,375
140,2104504047,120,6E+13,221,67208,27.932,42.432
460,2096296751,900065,241770,805,330000,55.7,70.2
150,2104504047,130,6E+13,5,5000,0.5,15
470,2096296751,900066,6E+13,725,186440,35.78,50.28
160,2104504047,140,6E+13,125,39200,12000.5,14055
480,2096296751,900067,6E+13,365,118400,40.46,54.96
170,2104504047,150,6E+13,125,39200,12000.5,14055
490,2096296751,900068,6E+13,77,27680,4.028,18.528
500,2096296751,900069,6E+13,293,15886.4,2.804,18.168
180,2104504047,160,6E+13,245,86600,29.3,43.8
510,2096296751,900070,6E+13,1445,59432,12.02,30.84
180,2063560536,170,236486,113,31244,24.584,39.084
190,2063560536,180,232846,101,25736,21.908,36.408
200,2063560536,190,232815,65,17960,13.88,28.38
210,2063560536,200,6E+13,5,5000,0.5,15
220,2063560536,210,6E+13,173,58361,25.7,40.2
30,2063560536,40,6E+13,149,50738,22.1,36.6
230,2063560536,220,236318,173,31880,3.524,18.024
250,2063560536,230,241558,293,25160,7.988,22.488
260,2063560536,240,6E+13,173,47336,8.732,23.232
270,2063560536,250,234291,113,6592.136,2.66,17.16
280,2063560536,260,234277,161,7299.752,3.62,18.12
50,2063560536,50,223575,385,46040,5.44,19.94
60,2063560536,60,6E+13,197,197000,12.98,27.48
70,2063560536,70,6E+13,533,236000,155.732,170.232
80,2063560536,80,6E+13,197,89000,56.948,71.448
90,2063560536,90,237056,53,8840,1.124,15.624
100,2063560536,100,241251,101,12680,1.748,16.248
110,2063560536,110,6E+13,161,54140,17.816,32.316
210,2063560536,900021,6E+13,53,19400,7.7,22.2
210,2063560536,900022,6E+13,125,41000,18.5,33
20,2063560861,30,6E+13,35,139544.18,55.4,69.9
30,2063560861,40,6E+13,77,22640,30.74,45.24
20,2063567765,30,230866,53,17000,8.996,23.496
20,2063567782,30,6E+13,125,82760,14.9,29.4
110,2063567782,120,124685,41,5000,2759.9,2774.4
120,2063567782,130,230842,53,5000.048,0.548,15.048
130,2063567782,140,241701,17,14072,7.34,21.84
140,2063567782,150,243835,101,32315.84,29.3,43.8
150,2063567782,160,240476,41,15090.08,0.536,15.036
160,2063567782,170,240957,101,31906.88,0.596,15.096
180,2063567782,180,6E+13,293,87944,37.364,51.864
190,2063567782,190,6E+13,77,20552,9.644,24.144
200,2063567782,200,6E+13,17,15296,4.7,19.2
210,2063567782,210,6E+13,41,23144,10.472,24.972
